Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
11611	06/01/1990	14:23:09	28.07	-16.2033	17		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
11615	08/01/1990	21:23:10	28.4083	-16.9233	39	III 	3.2	2	NW BUENAVISTA DEL NORTE.ITF 	[+] info
11662	17/02/1990	22:37:39	28.1433	-16.1133	26		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
11673	24/02/1990	15:03:35	28.1083	-16.155	15		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
11756	03/05/1990	5:24:05	28.2333	-16.1183	-999		2.3	2	TENERIFE-GRAN CANARIA 	[+] info
11758	03/05/1990	22:53:12	27.9833	-15.8667	16		2.8	2	W GRAN CANARIA 	[+] info
11888	18/08/1990	13:46:29	27.91	-16.46	18		3	2	SE TENERIFE 	[+] info
11890	18/08/1990	21:58:37	28.08	-16.13	18		2.3	2	TENERIFE-GRAN CANARIA 	[+] info
11933	06/10/1990	15:55:19	28.26	-15.75	-999		2.6	2	N GRAN CANARIA 	[+] info
11934	06/10/1990	20:17:38	28.06	-16.11	15		2.3	2	TENERIFE-GRAN CANARIA 	[+] info
11960	30/10/1990	20:16:24	28.205	-16.1717	26		2.6	2	TENERIFE-GRAN CANARIA 	[+] info
11996	06/12/1990	0:16:33	28.1733	-16.2017	-999		2.5	2	TENERIFE-G.CANARIA 	[+] info
12015	14/01/1991	21:43:23	28.2917	-16.2033	10		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
12016	15/01/1991	0:56:59	28.19	-16.215	10		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
12127	09/06/1991	1:54:22	28.0533	-16.1317	30		2.4	2	TENERIFE-GRAN CANARIA 	[+] info
12139	18/06/1991	3:45:46	28.0883	-16.155	24		2.4	2	TENERIFE-GRAN CANARIA 	[+] info
12144	23/06/1991	20:22:45	28.23	-16.0267	-999		2.5	2	TENERIFE-GRAN CANARIA 	[+] info
12150	02/07/1991	17:23:03	28.155	-16.2133	36		3	2	TENERIFE-G.CANARIA 	[+] info
12152	04/07/1991	23:41:49	28.0567	-16.1183	29		3	2	TENERIFE-G.CANARIA 	[+] info
12164	23/07/1991	22:56:48	28.405	-15.6083	40		2.5	2	N G.CANARIA 	[+] info
12230	17/09/1991	19:38:01	28.7983	-16.2317	50		2.8	2	NE TENERIFE 	[+] info
12251	07/10/1991	21:09:05	28.0883	-16.1817	12		2.2	2	TFE.G.CANARIA 	[+] info
12488	07/05/1992	15:17:10	28.1433	-16.2383	24		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
12502	16/05/1992	16:57:27	28.2867	-15.975	7		3.3	2	ATL¡NTICO-CANARIAS 	[+] info
12522	01/06/1992	10:42:03	28.1867	-16.28	33		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
12528	06/06/1992	23:21:04	28.0483	-16.1883	14		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
12573	12/07/1992	5:33:27	28.0967	-16.3817	29		2.6	2	ATLANTICO CANARIAS 	[+] info
12591	28/07/1992	4:35:50	28.105	-16.2783	25		2.5	2	ATLANTICO CANARIAS 	[+] info
12601	01/08/1992	22:22:04	28.325	-16.1617	36		3.1	2	E TENERIFE 	[+] info
12604	03/08/1992	8:27:14	28.765	-16.835	15		2.9	2	N TENERIFE 	[+] info
13000	09/04/1993	16:04:32	28.1583	-16.915	3	II 	3.1	2	SW GUÕA DE ISORA.ITF 	[+] info
13003	10/04/1993	13:29:55	28.0933	-16.14	33		3.4	2	ATL¡NTICO-CANARIAS 	[+] info
13007	13/04/1993	3:59:39	28.0833	-16.125	5		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
13112	15/06/1993	5:48:13	28.265	-16.155	14		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
13179	23/07/1993	9:05:40	28.09	-16.1717	12		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
13208	02/08/1993	7:08:59	28.8433	-17	-999		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
13237	24/08/1993	22:51:53	28.2883	-16.155	17		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
13243	31/08/1993	1:21:02	28.5683	-16.3217	1	II-III 	2.2	2	NE TEGUESTE.ITF 	[+] info
13253	07/09/1993	1:34:17	28.19	-15.68	22		2.3	2	NW G¡LDAR.IGC 	[+] info
13264	11/09/1993	15:39:52	28.5783	-16.3367	6	III 	2.8	2	N TEGUESTE.ITF 	[+] info
13295	03/10/1993	4:47:50	28.12	-16.2467	30		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
13334	20/10/1993	14:57:39	28.0283	-16.115	21		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
13347	28/10/1993	17:33:03	28.1967	-16.1667	30		2	2	ATL¡NTICO-CANARIAS 	[+] info
13362	10/11/1993	17:10:58	28.6517	-16.7683	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
13448	23/12/1993	9:26:08	28.0333	-16.0833	29		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
13449	23/12/1993	12:38:17	28.035	-16.1317	25		2	2	ATL¡NTICO-CANARIAS 	[+] info
13455	23/12/1993	18:46:21	28.01	-16.0967	25		1.8	2	ATL¡NTICO-CANARIAS 	[+] info
13474	31/12/1993	23:14:10	28.0517	-16.1083	9		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
13733	20/02/1994	6:38:04	28.0533	-16.1017	9		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
13756	01/03/1994	13:14:24	28.1117	-16.2633	24		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
13821	20/03/1994	16:56:04	28.065	-16.1317	-999		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
13911	21/04/1994	10:10:19	28.125	-16.1517	30		2	2	ATL¡NTICO-CANARIAS 	[+] info
13986	19/05/1994	3:00:50	28.0517	-16.2217	35		1.7	2	ATL¡NTICO-CANARIAS 	[+] info
14007	26/05/1994	2:15:25	27.9733	-16.1817	11		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
14121	30/05/1994	14:36:28	27.525	-15.8517	-999		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
14250	27/06/1994	1:57:05	28.9367	-16.25	15		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
14313	22/07/1994	12:59:52	27.9467	-16.1883	10		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
14315	23/07/1994	17:27:38	27.945	-16.13	18		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
14318	24/07/1994	0:56:47	27.9917	-16.2867	10		1.9	2	ATL¡NTICO-CANARIAS 	[+] info
14420	19/08/1994	19:42:54	28.2283	-16.1633	36		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
14530	09/09/1994	22:55:54	28.1533	-16.2417	-999		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
14548	17/09/1994	12:03:13	28.28	-16.2817	9		2	2	ATL¡NTICO-CANARIAS 	[+] info
