time (mins)	time (secs)	stress (Mpa)	strain (%)	strain	pore volume (cm3)	confining pressure (Mpa)	pore pressure (Mpa)	effective pressure (Mpa)
0	0	0	0	0	0	49.93573356	19.99225616	29.9434774
0.0354384	2.126304	0.251388794	0.005091554	5.09155E-05	-0.00134986	49.86910641	20.01199722	29.85710919
0.0710784	4.264704	0.419734743	0.007261294	7.26129E-05	-0.00232146	49.9687959	20.05372047	29.91507543
0.1015632	6.093792	0.592409146	0.009071067	9.07107E-05	-0.00212616	49.93340211	20.04379272	29.88960939
0.1346544	8.079264	0.781651427	0.011016591	0.000110166	-0.00100142	49.94950116	20.05122503	29.89827613
0.1696176	10.177056	1.06920477	0.013601224	0.000136012	-0.00090297	50.04133205	20.02639771	30.01493434
0.2025936	12.155616	1.324029192	0.016684456	0.000166845	-0.00131899	49.89734507	20.01609802	29.88124705
0.2353104	14.118624	1.487718965	0.018915713	0.000189157	-0.00155188	49.93983369	20.02983093	29.91000276
0.26712	16.0272	1.619131876	0.020358811	0.000203588	-0.00166832	50.05576291	20.05405426	30.00170865
0.3030192	18.181152	1.803299826	0.023213565	0.000232136	-0.00196825	49.8601625	20.03829956	29.82186294
0.3387456	20.324736	2.004555514	0.025422153	0.000254222	-0.00070184	49.99828067	20.02262115	29.97565952
0.371664	22.29984	2.18316316	0.027051185	0.000270512	-0.00158363	49.86719704	20.01876831	29.84842873
0.403488	24.20928	2.351463911	0.028591419	0.000285914	-0.00425231	49.91113276	20.0025177	29.90861506
0.4368096	26.208576	2.6521269	0.031968823	0.000319688	-0.00407235	49.94337106	20.04636129	29.89700977
0.4695264	28.171584	2.783811052	0.034009985	0.0003401	-0.00420256	50.03096113	20.05271912	29.97824201
0.5012928	30.077568	3.092068588	0.036189895	0.000361899	-0.00434864	49.95695777	20.05123138	29.90572639
0.5339952	32.039712	3.253859719	0.03808397	0.00038084	-0.00434758	49.89814901	20.00751495	29.89063406
0.5668704	34.012224	3.380797272	0.039416052	0.000394161	-0.00445662	50.14283042	20.01289368	30.12993674
0.6018912	36.113472	3.550725433	0.04081291	0.000408129	-0.00486346	50.19231339	20.02399445	30.16831894
0.636912	38.21472	4.055627688	0.044702794	0.000447028	-0.00610271	50.06846528	20.02670288	30.0417624
0.6703056	40.218336	4.237625755	0.047791585	0.000477916	-0.00707554	49.90015888	20.06061554	29.83954334
0.7034256	42.205536	4.36008795	0.04945948	0.000494595	-0.00736665	50.02778554	20.03908157	29.98870397
0.7353648	44.121888	4.558902532	0.051955766	0.000519558	-0.00972304	50.1079793	19.98958588	30.11839342
0.7681248	46.087488	4.776025419	0.054336873	0.000543369	-0.01042912	49.94103961	20.00549316	29.93554645
0.8011872	48.071232	4.605690414	0.057588012	0.00057588	-0.00924139	50.02344422	20.03421783	29.98922639
0.8331264	49.987584	4.707131959	0.058401154	0.000584012	-0.00773398	50.0865139	20.03433228	30.05218162
0.8692992	52.157952	4.95018031	0.059597484	0.000595975	-0.00772074	50.06088138	20.03472646	30.02615492
0.9054144	54.324864	5.228986348	0.061481607	0.000614816	-0.0093356	49.90405803	20.02017975	29.88387828
0.9381168	56.287008	5.666486932	0.063890476	0.000638905	-0.00923398	50.04708028	20.03528595	30.01179433
0.969984	58.19904	6.181831692	0.06912865	0.000691287	-0.01045452	49.91177592	20.03978729	29.87198863
1.0028016	60.168096	6.450217819	0.07200376	0.000720038	-0.01123999	50.00342593	20.03582001	29.96760592
1.0357776	62.146656	6.670324283	0.074687362	0.000746874	-0.01182962	50.25104175	20.02498627	30.22605548
1.0677024	64.062144	6.805670089	0.076452393	0.000764524	-0.01466872	50.0681839	19.97909546	30.08908844
1.1006208	66.037248	6.969631103	0.078504641	0.000785046	-0.01524671	50.14898062	20.00659943	30.14238119
1.1333232	67.999392	7.147560665	0.081451889	0.000814519	-0.01348312	50.12450042	20.02864838	30.09585204
1.168344	70.10064	7.321105272	0.082948415	0.000829484	-0.01316978	50.17096858	20.03772736	30.13324122
1.2034368	72.206208	7.539765146	0.084888978	0.00084889	-0.0139002	50.32556767	20.05138397	30.2741837
1.2361392	74.168352	7.661684877	0.086222456	0.000862225	-0.01561933	50.09945745	20.03925323	30.06020422
1.2691008	76.146048	7.909185974	0.088896353	0.000888964	-0.01589667	50.13132727	20.01873652	30.11259075
1.3009824	78.058944	8.437414363	0.090530944	0.000905309	-0.01687798	50.25715175	20.01064301	30.24650874
1.3339008	80.034048	8.712581343	0.094634058	0.000946341	-0.01780317	50.02593646	20.02906799	29.99686847
1.3666032	81.996192	8.917498693	0.097388432	0.000973884	-0.01778941	50.1966949	20.04959106	30.14710384
1.4015808	84.094848	9.021403955	0.099087319	0.000990873	-0.01958741	50.00033073	20.00213623	29.9981945
1.4368176	86.209056	9.262644069	0.102883312	0.001028833	-0.0196451	50.20722661	20.02376556	30.18346105
1.469736	88.18416	9.200260229	0.105485056	0.001054851	-0.01818109	50.12975287	20.0304985	30.09925437
1.5025968	90.155808	9.242843985	0.105752863	0.001057529	-0.01852089	50.1293241	20.02807617	30.10124793
1.5350544	92.103264	9.440166778	0.106649259	0.001066493	-0.01896973	49.93878856	20.01586914	29.92291942
1.5679584	94.077504	9.642778644	0.108467005	0.00108467	-0.01958688	50.05154219	20.02639771	30.02514448
1.6006608	96.039648	9.793449176	0.10915247	0.001091525	-0.01878448	50.14295101	20.03677368	30.10617733
1.6356672	98.140032	10.04169618	0.10980303	0.00109803	-0.01976472	49.80762453	20.04981995	29.75780458
1.670832	100.24992	10.46163435	0.113824519	0.001138245	-0.01992139	49.82205539	20.07068634	29.75136905
1.7036352	102.218112	10.7571439	0.117912371	0.001179124	-0.01981447	50.04587436	20.04709244	29.99878192
1.7366112	104.196672	10.88977736	0.120057594	0.001200576	-0.02169027	49.83616467	20.00114441	29.83502026
1.7683776	106.102656	11.15301004	0.122316597	0.001223166	-0.02301667	49.90393744	20.01392365	29.89001379
1.8011952	108.071712	11.3476205	0.124932222	0.001249322	-0.02185965	49.9198154	20.06462097	29.85519443
1.83384	110.0304	11.48798414	0.126207428	0.001262074	-0.02176543	49.88982816	20.04608154	29.84374662
1.8688176	112.129056	11.62920669	0.127914623	0.001279146	-0.02179984	49.82201519	20.03494263	29.78707256
1.9037952	114.227712	12.05147295	0.131412297	0.001314123	-0.02218675	50.02825451	20.01667023	30.01158428
1.9364544	116.187264	12.16091591	0.134057051	0.001340571	-0.02204066	49.95229487	20.04619598	29.90609889
1.9692576	118.155456	12.42333489	0.137342877	0.001373429	-0.02241117	49.79054065	20.02445221	29.76608844
2.0012976	120.077856	12.48815984	0.13872632	0.001387263	-0.02301879	50.08820219	20.08811951	30.00008268
2.034216	122.05296	12.715454	0.140319269	0.001403193	-0.02366982	50.06070719	20.01106262	30.04964457
2.0668608	124.011648	12.93094949	0.142783646	0.001427836	-0.02498457	50.01046047	20.07019043	29.94027004
2.1020688	126.124128	13.28396064	0.145781077	0.001457811	-0.0254881	50.04153304	20.0479126	29.99362044
2.1371328	128.227968	13.55668653	0.148589343	0.001485893	-0.02535719	50.0451709	19.9971199	30.048051
2.1698352	130.190112	13.76729979	0.151006535	0.001510065	-0.02484166	49.96198244	20.03253937	29.92944307
2.2027536	132.165216	14.00164605	0.153662405	0.001536624	-0.02517723	49.9580029	20.02716064	29.93084226
2.2350528	134.103168	14.15543577	0.155317802	0.001553178	-0.02519417	50.04277916	20.04333496	29.9994442
2.2680576	136.083456	14.42951781	0.156831671	0.001568317	-0.02605162	49.82321441	20.05332311	29.7698913
2.3007744	138.046464	14.69953135	0.159927402	0.001599274	-0.02652904	50.08124804	20.02975464	30.0514934
2.3358384	140.150304	14.80795717	0.16173959	0.001617396	-0.02662519	49.83439598	20.04375458	29.7906414
2.3708304	142.249824	15.03708217	0.163753004	0.00163753	-0.02667512	49.90707283	20.04669189	29.86038094
2.4035904	144.215424	15.18721023	0.166679431	0.001666794	-0.02803751	50.05162258	20.03662109	30.01500149
2.436552	146.19312	14.95110097	0.168869061	0.001688691	-0.02912891	49.95772152	19.99774933	29.95997219
2.4686928	148.121568	15.23915157	0.169933349	0.001699333	-0.02858903	50.02848899	20.04976273	29.97872626
2.5016544	150.099264	15.60097784	0.172943046	0.00172943	-0.02791366	49.88476329	20.0302887	29.85447459
2.5344144	152.064864	15.78080603	0.175057743	0.001750577	-0.02854245	50.08727765	20.02773285	30.0595448
2.5695216	154.171296	15.96623974	0.176468933	0.001764689	-0.02916754	49.86888533	20.04306793	29.8258174
2.604528	156.27168	16.43895555	0.178455968	0.00178456	-0.02940731	49.9565156	20.04703522	29.90948038
2.6371872	158.231232	16.64577154	0.182059552	0.001820596	-0.0295915	49.99289422	20.02281189	29.97008233
2.6703072	160.218432	16.81895451	0.184228361	0.001842284	-0.03074959	49.86525416	20.05345027	29.81180389
2.7025488	162.152928	16.92934678	0.185869892	0.001858699	-0.03126194	50.01480179	20.0214386	29.99336319
2.7355104	164.130624	17.09290093	0.187911053	0.001879111	-0.03214056	49.83781276	20.00259399	29.83521877
2.7681696	166.090176	17.39247898	0.191298162	0.001912982	-0.03237027	50.06995258	20.0421524	30.02780018
2.8000512	168.003072	17.53650428	0.193802784	0.001938028	-0.03195849	50.01841955	20.04707336	29.97134619
2.8358784	170.152704	17.76825121	0.195928801	0.001959288	-0.0312203	49.94308968	20.05290985	29.89017983
2.8717632	172.305792	17.97820899	0.197979449	0.001979794	-0.03178064	50.08479881	20.01924515	30.06555366
2.9045808	174.274848	18.16224132	0.19994706	0.001999471	-0.03245496	50.02344422	20.03456116	29.98888306
2.936448	176.18688	18.42140549	0.203024749	0.002030247	-0.03247295	49.98312626	20.01037598	29.97275028
2.969568	178.17408	18.59485969	0.205031209	0.002050312	-0.03272596	49.84585223	20.02994537	29.81590686
3.0024432	180.146592	18.72776439	0.206626936	0.002066269	-0.03265291	49.87937684	20.03925323	29.84012361
3.0343248	182.059488	18.89511583	0.208573741	0.002085737	-0.03345743	49.8249898	20.07976532	29.74522448
3.0670704	184.024224	19.01364512	0.210921558	0.002109216	-0.03501037	49.96310797	20.03219604	29.93091193
3.1000032	186.000192	19.06775632	0.214172697	0.002141727	-0.03572703	50.03528905	19.99677022	30.03851883
3.1349664	188.097984	19.11097295	0.215363251	0.002153633	-0.03536728	49.95016441	20.01308441	29.93708
3.1699872	190.199232	19.24527904	0.216378972	0.00216379	-0.03440804	49.89059191	20.02449036	29.86610155
3.2029632	192.177792	19.38767693	0.216895148	0.002168951	-0.03361834	49.85505743	20.02952576	29.82553167
3.2356656	194.139936	19.90193676	0.218729553	0.002187296	-0.03390733	50.03345337	20.03917694	29.99427643
3.2674464	196.046784	20.39029373	0.223007515	0.002230075	-0.03587417	50.02609725	20.02613068	29.99996657
3.3002064	198.012384	20.58883708	0.22616568	0.002261657	-0.03765046	49.90180697	20.04112244	29.86068453
3.3331248	199.987488	20.68037858	0.228211003	0.00228211	-0.03846663	49.83088541	20.06400426	29.76688115
3.3682176	202.093056	20.82313813	0.230161954	0.00230162	-0.03864535	49.81851802	20.05325317	29.76526485
3.403224	204.19344	21.15761496	0.23274567	0.002327457	-0.04132585	50.07071633	20.00350952	30.06720681
3.4361856	206.171136	21.40687909	0.235272482	0.002352725	-0.04193982	50.04093008	20.02300262	30.01792746
3.4689024	208.134144	21.57056886	0.237376077	0.002373761	-0.04136184	49.99233146	20.0434494	29.94888206
3.5007264	210.043584	21.78579311	0.239510198	0.002395102	-0.04082937	49.97750533	20.03787359	29.93963174
